;x
uso indevido dos meios de comunicação;210
indevido dos meios de comunicação social;112
o senhor ministro alexandre de moraes;87
senhor ministro alexandre de moraes presidente;80
a ação de investigação judicial eleitoral;52
o senhor ministro luís roberto barroso;52
nos termos do voto do relator;47
senhor ministro luís roberto barroso presidente;45
coligação o povo feliz de novo;43
e uso indevido dos meios de;43
de abuso do poder econômico e;40
de disparos em massa de mensagens;40
presidente e vice presidente da república;39
prática de abuso do poder econômico;38
disparos em massa de mensagens de;37
dje de sem destaques no original;36
uso indevido de meios de comunicação;36
de veículos ou meios de comunicação;34
veículos ou meios de comunicação social;34
min luis felipe salomão dje de;34
o uso indevido dos meios de;33
a normalidade e a legitimidade das;33
normalidade e a legitimidade das eleições;33
rel min luis felipe salomão dje;33
poder econômico e uso indevido dos;32
em massa de mensagens de whatsapp;32
df relator ministro jorge mussi dje;30
econômico e uso indevido dos meios;30
voto o senhor ministro alexandre de;30
a gravidade das circunstâncias que o;28
gravidade das circunstâncias que o caracterizam;28
a caracterização do abuso de poder;28
de uso indevido dos meios de;28
jair messias bolsonaro e antônio hamilton;28
para que na condição de testemunha;28
que na condição de testemunha da;28
na condição de testemunha da presente;28
condição de testemunha da presente aije;28
de testemunha da presente aije elucide;28
testemunha da presente aije elucide questões;28
da presente aije elucide questões referentes;28
presente aije elucide questões referentes à;28
o conteúdo repercutiu perante o eleitorado;28
ministro alexandre de moraes presidente agradeço;28
do contraditório e da ampla defesa;27
a legitimidade e a normalidade das;27
legitimidade e a normalidade das eleições;27
ministro tarcisio vieira de carvalho neto;26
prática de abuso de poder econômico;26
para a caracterização do abuso de;26
do uso indevido dos meios de;26
abuso do poder econômico e uso;26
do poder econômico e uso indevido;26
min tarcisio vieira de carvalho neto;25
de ação de investigação judicial eleitoral;25
ação de investigação judicial eleitoral aije;25
aije nº df relator ministro jorge;25
nº df relator ministro jorge mussi;25
vice procurador geral eleitoral paulo gustavo;25
procurador geral eleitoral paulo gustavo gonet;25
geral eleitoral paulo gustavo gonet branco;25
é como voto o senhor ministro;25
alto grau de reprovabilidade da conduta;24
messias bolsonaro e antônio hamilton martins;24
bolsonaro e antônio hamilton martins mourão;24
no twitter representado responsável pelo perfil;24
o povo feliz de novo pt;23
vieira de carvalho neto dje de;23
relator ministro jorge mussi dje de;23
a normalidade e a legitimidade do;22
apenas a gravidade das circunstâncias que;22
gravidade dos fatos imputados demonstrada a;22
dos fatos imputados demonstrada a partir;22
fatos imputados demonstrada a partir da;22
imputados demonstrada a partir da verificação;22
demonstrada a partir da verificação do;22
a partir da verificação do alto;22
partir da verificação do alto grau;22
da verificação do alto grau de;22
verificação do alto grau de reprovabilidade;22
do alto grau de reprovabilidade da;22
grau de reprovabilidade da conduta aspecto;22
de reprovabilidade da conduta aspecto qualitativo;22
reprovabilidade da conduta aspecto qualitativo e;22
da conduta aspecto qualitativo e de;22
conduta aspecto qualitativo e de sua;22
a fim de influenciar o equilíbrio;22
fim de influenciar o equilíbrio da;22
de influenciar o equilíbrio da disputa;22
influenciar o equilíbrio da disputa eleitoral;22
rel min jorge mussi dje de;22
nos termos do art da lc;22
normalidade e a legitimidade do pleito;21
mas apenas a gravidade das circunstâncias;21
indevida de veículos ou meios de;21
aspecto qualitativo e de sua significativa;21
qualitativo e de sua significativa repercussão;21
e de sua significativa repercussão a;21
de sua significativa repercussão a fim;21
sua significativa repercussão a fim de;21
significativa repercussão a fim de influenciar;21
repercussão a fim de influenciar o;21
a ocorrência do abuso de poder;21
voto o senhor ministro luís roberto;21
extrato da ata aije nº df;21
da ata aije nº df relator;21
tarcisio vieira de carvalho neto dje;21
contra a influência do poder econômico;20
tarcisio vieira de carvalho neto e;20
utilização indevida de veículos ou meios;20
na ação de investigação judicial eleitoral;20
min luís roberto barroso dje de;20
o equilíbrio da disputa eleitoral aspecto;20
equilíbrio da disputa eleitoral aspecto quantitativo;20
uso indevido desvio ou abuso do;20
indevido desvio ou abuso do poder;20
a senhora rebeca félix da silva;20
senhora rebeca félix da silva ribeiro;20
rebeca félix da silva ribeiro alves;20
félix da silva ribeiro alves testemunha;20
de presidente e vice presidente da;20
de comunicação social nos termos do;20
cep para que na condição de;20
aije elucide questões referentes à sua;20
elucide questões referentes à sua relação;20
questões referentes à sua relação com;20
referentes à sua relação com os;20
à sua relação com os investigados;20
alcance do ilícito em termos de;20
eleitoral paulo gustavo gonet branco sessão;20
sob pena de multa diária de;20
sob pena de multa de r;20
a influência do poder econômico ou;19
abuso do exercício de função cargo;19
do exercício de função cargo ou;19
exercício de função cargo ou emprego;19
de função cargo ou emprego na;19
função cargo ou emprego na administração;19
cargo ou emprego na administração direta;19
termos do voto do relator composição;19
rel min tarcisio vieira de carvalho;19
ata aije nº df relator ministro;19
alexandre de moraes presidente agradeço ao;19
normalidade e legitimidade das eleições contra;18
e legitimidade das eleições contra a;18
legitimidade das eleições contra a influência;18
das eleições contra a influência do;18
eleições contra a influência do poder;18
povo feliz de novo pt pc;18
feliz de novo pt pc do;18
de novo pt pc do b;18
novo pt pc do b pros;18
de aragão oab df e outros;18
para a ocorrência do abuso de;18
art do código de processo civil;18
de perfis falsos para propaganda eleitoral;18
compra irregular de cadastro de usuários;18
desvio ou abuso do poder econômico;18
econômico ou do poder de autoridade;18
de abuso de poder econômico e;18
é como voto voto o senhor;18
dos meios de comunicação social nos;18
meios de comunicação social nos termos;18
comunicação social nos termos do art;18
dano ou da existência de culpa;18
ou da existência de culpa ou;18
da existência de culpa ou dolo;18
no prazo de vinte e quatro;18
prazo de vinte e quatro horas;18
potencialidade de o fato alterar o;17
de o fato alterar o resultado;17
o fato alterar o resultado da;17
do cargo de presidente da república;17
eugênio josé guilherme de aragão oab;17
josé guilherme de aragão oab df;17
guilherme de aragão oab df e;17
ou abuso do poder econômico ou;17
abuso do poder econômico ou do;17
do poder econômico ou do poder;17
poder econômico ou do poder de;17
ou do poder de autoridade ou;17
de empresas especializadas em marketing digital;17
meios de comunicação social em benefício;17
de comunicação social em benefício de;17
o senhor ministro benedito gonçalves relator;17
composição ministros alexandre de moraes presidente;17
como voto o senhor ministro alexandre;17
ao sistema eletrônico de votação e;17
fato alterar o resultado da eleição;16
o senhor ministro luis felipe salomão;16
advogados eugênio josé guilherme de aragão;16
rel min edson fachin dje de;16
rel min gilmar mendes dje de;16
nas ações de investigação judicial eleitoral;16
tendentes a afetar a igualdade de;16
a afetar a igualdade de oportunidades;16
afetar a igualdade de oportunidades entre;16
a igualdade de oportunidades entre candidatos;16
igualdade de oportunidades entre candidatos nos;16
de oportunidades entre candidatos nos pleitos;16
oportunidades entre candidatos nos pleitos eleitorais;16
a mensuração dos reflexos eleitorais da;16
mensuração dos reflexos eleitorais da conduta;16
deva continuar a ser ponderada pelo;16
continuar a ser ponderada pelo julgador;16
a ser ponderada pelo julgador não;16
fator determinante para a ocorrência do;16
determinante para a ocorrência do abuso;16
rel min henrique neves da silva;16
como voto voto o senhor ministro;16
da ampla defesa e do contraditório;16
brasil acima de tudo deus acima;16
acima de tudo deus acima de;16
de tudo deus acima de todos;16
contratação de empresas especializadas em marketing;16
improcedente a ação de investigação judicial;16
social nos termos do art da;16
digitais de mensagens instantâneas visando promover;16
de mensagens instantâneas visando promover disparos;16
mensagens instantâneas visando promover disparos em;16
instantâneas visando promover disparos em massa;16
visando promover disparos em massa contendo;16
promover disparos em massa contendo desinformação;16
disparos em massa contendo desinformação e;16
em massa contendo desinformação e inverdades;16
massa contendo desinformação e inverdades em;16
contendo desinformação e inverdades em prejuízo;16
desinformação e inverdades em prejuízo de;16
e ou uso indevido dos meios;16
ou uso indevido dos meios de;16
de comunicação social para os fins;16
comunicação social para os fins do;16
social para os fins do art;16
paulo gustavo gonet branco sessão de;16
relator o senhor ministro alexandre de;16
minuta de decreto de estado de;16
de decreto de estado de defesa;16
ou emprego na administração direta ou;15
emprego na administração direta ou indireta;15
a potencialidade de o fato alterar;15
ou meios de comunicação social a;15
importância do cargo de presidente da;15
o caráter indisponível dos interesses envolvidos;15
caracterização do abuso de poder econômico;15
abuso de poder apto à incidência;15
de poder apto à incidência das;15
utilização indevida de perfis falsos para;15
napoleão nunes maia filho dje de;15
compra irregular de cadastros de usuários;15
que compõem a causa de pedir;15
os fatos e os fundamentos do;15
fatos e os fundamentos do pedido;15
coligação brasil acima de tudo deus;15
partes causa de pedir e pedido;15
do poder de autoridade ou utilização;15
poder de autoridade ou utilização indevida;15
de autoridade ou utilização indevida de;15
autoridade ou utilização indevida de veículos;15
ou utilização indevida de veículos ou;15
croc services soluções de informática ltda;15
apurar uso indevido desvio ou abuso;15
comunicação social em benefício de candidato;15
social em benefício de candidato ou;15
em benefício de candidato ou de;15
benefício de candidato ou de partido;15
de candidato ou de partido político;15
ao cargo de presidente da república;15
em favor de jair messias bolsonaro;15
e carlos horbach vice procurador geral;15
carlos horbach vice procurador geral eleitoral;15
voto o senhor ministro benedito gonçalves;15
para conceder a tutela inibitória antecipada;15
aije nº df relator ministro benedito;15
nº df relator ministro benedito gonçalves;15
a prática de abuso de poder;14
vieira de carvalho neto e sérgio;14
de carvalho neto e sérgio banhos;14
mais evidente quer em razão da;14
evidente quer em razão da importância;14
quer em razão da importância do;14
em razão da importância do cargo;14
razão da importância do cargo de;14
da importância do cargo de presidente;14
nacional e internacional quer por se;14
e internacional quer por se tratar;14
internacional quer por se tratar de;14
quer por se tratar de pleito;14
por se tratar de pleito de;14
se tratar de pleito de proporções;14
tratar de pleito de proporções continentais;14
de pleito de proporções continentais a;14
pleito de proporções continentais a envolver;14
poder apto à incidência das graves;14
apto à incidência das graves penalidades;14
à incidência das graves penalidades aqui;14
incidência das graves penalidades aqui referidas;14
os pedidos formulados nas ações de;14
pedidos formulados nas ações de investigação;14
formulados nas ações de investigação judicial;14
proclamação do resultado o senhor ministro;14
sessão de sem revisão das notas;14
de sem revisão das notas de;14
sem revisão das notas de julgamento;14
indevida de perfis falsos para propaganda;14
captação ilícita de sufrágio art a;14
do art do código de processo;14
previsto no art da lc nº;14
abuso de poder econômico e uso;14
de poder econômico e uso indevido;14
de jair messias bolsonaro e antônio;14
empresas apoiadoras de jair bolsonaro para;14
quick mobile desenvolvimento e serviços ltda;14
para apurar uso indevido desvio ou;14
ou meios de comunicação social em;14
pela coligação o povo feliz de;14
novo brasil empreendimentos digitais ltda e;14
brasil empreendimentos digitais ltda e raposo;14
empreendimentos digitais ltda e raposo fernandes;14
digitais ltda e raposo fernandes marketing;14
ltda e raposo fernandes marketing digital;14
e raposo fernandes marketing digital ltda;14
raposo fernandes marketing digital ltda a;14
e inverdades em prejuízo de adversários;14
inverdades em prejuízo de adversários e;14
em prejuízo de adversários e em;14
prejuízo de adversários e em benefício;14
de adversários e em benefício de;14
adversários e em benefício de candidato;14
a teor das mensagens e nesse;14
teor das mensagens e nesse contexto;14
das mensagens e nesse contexto se;14
mensagens e nesse contexto se continham;14
e nesse contexto se continham propaganda;14
nesse contexto se continham propaganda negativa;14
contexto se continham propaganda negativa ou;14
se continham propaganda negativa ou informações;14
continham propaganda negativa ou informações efetivamente;14
