"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"não";0,14079624418086;0,336438719373938;0,235532092840749;0,324300006659124;0,77492890217442;0,542507790041434;0,159329644206398;0,61586859157992;0,224801764213668;0,000365060505942064;0,0020844652236677;0,00102160472675568;0,0184154659348764;0,187188302519878;0,000645267993060781
"ao";0,0972264306924015;0,159027508975494;-0,484491956564289;0,187294469880719;0,30634646132643;-0,933312716716575;0,0652287927002708;0,118134523794178;0,816636683505565;0,000109982265091664;0,000294237815112942;0,00273103406620723;0,0116346674551574;0,202022900263901;0,000474848617471587
"como";0,208138782544452;0,0258937948998986;-0,252092168934373;0,634691286243066;0,0789596527366102;-0,768721239726623;0,571402864135147;0,0059867271852759;0,422610408679535;0,000402709210828829;6,23271043519306e-06;0,000590750710682252;0,00929577371203035;0,146122714930495;0,00019848194565596
"eleitoral";-0,343467430188363;-0,527472066966545;0,0351952624460779;-0,544819077934905;-0,836693147305204;0,0558278565831796;0,384339023587089;0,613626292911026;0,00203468350188283;0,000883803059427325;0,00208441078191663;9,28010297262737e-06;0,0074917690209537;0,294011453251237;0,000647609001484233
"ministro";0,148928591597441;0,660443014224233;0,621724303167953;0,162021979659234;0,718507329378119;0,676384576803186;0,0432906349406256;0,576328584057267;0,380380781002106;0,000112152420294854;0,00220558188954445;0,00195455625180918;0,00505652880261265;0,379854288494747;0,00072960290269507
"fato";-0,410931131472451;0,568133239447203;-0,31848114766706;-0,533600294696423;0,737729611552159;-0,413552591261368;0,385087833244412;0,498291839643231;0,116620327112357;0,001178696443827;0,00225301603897642;0,000707996881105153;0,00698013601464466;0,351418867224517;0,000862013434443212
"eleição";0,440154746021987;-0,619197204344677;0,670812403553902;0,434302713343381;-0,610964730863305;0,661893685438762;0,284838867807086;0,381599778367103;0,33356135382581;0,00114183204347763;0,00225969290570438;0,00265212272571278;0,00589374644930016;0,437664874369772;0,00112895032828935
"prova";-0,7778956698927;1,61977115825428;-0,400882199159986;-0,42252691575072;0,879805529465864;-0,217745805441748;0,245759336078233;0,721333841467507;0,0329068224542604;0,00319250097875277;0,0138418983076858;0,000847855565716982;0,00527580009103081;0,832726279909595;0,00365841418657426
"candidato";0,164469382481101;-1,14225427490145;-0,243237087037254;0,139452997136148;-0,968513286324817;-0,206239850179464;0,0287725938297292;0,939498612142136;0,031728794028134;0,000128871566585404;0,00621602236604659;0,000281868517798744;0,00476416708472177;0,514554621939021;0,0012613916489099
"voto";0,449851834362722;0,201091677860466;0,483687239837466;0,651509203276802;0,291236066679746;0,700512177988746;0,58202209707565;0,0787318297737025;0,339246073150647;0,000941922041429606;0,000188219304277243;0,00108894320448444;0,0046545314405127;0,312921705283043;0,000455771689039371
"senhor";1,36610391325397;1,03814965191393;1,43655145245247;0,610471905044829;0,463918732372229;0,641952850998484;0,513225035136568;0,200642049352178;0,286132915511253;0,00434013605207187;0,00250643125957506;0,0047993038232285;0,00232560457413197;1,01196559628562;0,00238159203462491
"art";-1,33474204528837;-0,046041700616479;0,470651083696801;-0,942587970254549;-0,0325144122674119;0,332371375612152;0,940296705279468;0,000757416239254141;0,0589458784812782;0,00800811520066364;9,52880287419665e-06;0,00099571203306833;0,00449506141257222;0,730467357488559;0,00239848637747917
"abuso";-1,55762037389468;-1,69076157833684;1,3105841542922;-0,588620618497275;-0,638934327421268;0,495266284661712;0,464129692939855;0,370205206940402;0,165665100119741;0,0104947489854772;0,0123655534063252;0,00742982599420365;0,00432562450788546;1,21332702701219;0,00636802207919242
"mais";0,642778270381726;-0,145229180622985;-0,233663908364149;0,919330127536634;-0,207713246225452;-0,334196534910164;0,908113265188059;0,0313824675062223;0,0605042673057193;0,00164718148636002;8,40866117778856e-05;0,000217671892033513;0,00398675069851195;0,357953906244665;0,000510826349747597
"relator";-0,722938465432922;0,982903136354335;0,0627983030856796;-0,591721912105714;0,804501836695055;0,0514001312084013;0,443427699955724;0,554885354525625;0,00168694551865088;0,00181276287103798;0,00335088692835881;1,36783637469486e-05;0,00346847310770539;0,576137113748893;0,00115130406179403
"público";0,304589096851061;-0,690832797978482;-0,245832968795104;0,383606681171712;-0,870051093807465;-0,309607829882996;0,207864471365304;0,72386757305253;0,0682679555821657;0,000366786633506143;0,00188682095226101;0,000238926898841089;0,00395352777602435;0,354535844332761;0,000496941302574194
"conduta";-1,37561822251729;-0,912839973964895;0,895845538623709;-0,732360513174198;-0,485983640544894;0,476936033306309;0,661411164393336;0,197163558621539;0,141425276985124;0,00681495442023628;0,00300093379929355;0,00289023652831773;0,00360136479765579;0,897631508595698;0,00290177204604228
"ação";-0,791958973072971;1,45536555205531;-0,362995523686885;-0,466905191836857;0,858021381636048;-0,214006659922432;0,294807085965327;0,673966639331306;0,0312262747033666;0,00217333917838756;0,00733949744477169;0,000456588196812708;0,00346515081545663;0,774051139088167;0,00207616301178553
"tse";1,30939146415617;0,0807816964499502;0,9665553802543;0,803555536582524;0,0495746163113405;0,593161746107379;0,782899911594897;0,00201722730944448;0,215082861095659;0,00582710008588906;2,21788694850863e-05;0,0031751697760104;0,00339870497048143;0,785330225417038;0,00209612941292275
"caso";-0,752895198845323;0,300282765145789;0,0328395494759514;-0,928087225516569;0,370155897928436;0,0404810210067648;0,902003002707577;0,0971317935380017;0,000865203754421845;0,00206780332072374;0,000328928107156796;3,93400179650376e-06;0,00364787688913843;0,420694142597475;0,000645614244175775
"dever";-0,647456236172775;0,46420778398558;0,0262501679170459;-0,81225893452579;0,582366651138545;0,0329318527371988;0,741389934143375;0,25799563204414;0,000614433812486517;0,00149994167797839;0,000771042599925212;2,46557210530316e-06;0,00357810875191447;0,399046039528043;0,000569769957079535
"mesmo";0,151230724580506;0,349545531866455;-0,0357199616369785;0,395344076786813;0,913774340326823;-0,0933783481855508;0,215302283473737;0,778641859348564;0,00605585717769669;7,73509544419829e-05;0,000413231215816316;4,31526606981286e-06;0,00338209350923763;0,172962376660103;0,000101178654429212
"também";0,440923784548471;0,213520665906038;0,281171178865262;0,780595284288381;0,378009149756007;0,497775134822424;0,733260468916582;0,116405290011126;0,150334241072291;0,00066850588614792;0,000156768214918659;0,000271844021496354;0,00343857247746655;0,273256385590942;0,000256754948041154
"presidente";0,795635120279685;0,450676903131073;0,373888531892936;0,805383876780134;0,456198956239358;0,37846971259101;0,752706099759815;0,163489481029418;0,0838044192107665;0,0017413900555401;0,000558725859729812;0,000384549683833107;0,00275085798197324;0,486672892263214;0,000651542099638405
"bem";-0,222660741088535;-0,405040207536216;0,363516987403348;-0,37865503028296;-0,688808055253257;0,618194007621908;0,218152201155888;0,488686385597961;0,29316141324615;0,000159770600548951;0,000528695776467379;0,000425852291308158;0,00322262348129716;0,252987917300388;0,000206257204261134
"campanha";0,456460144530477;-0,811051937003907;-0,863037092007348;0,359629976315734;-0,639001219253372;-0,679958617805414;0,202446100631252;0,432675882627624;0,364878016741124;0,000490091101870473;0,00154727825565901;0,00175198350715719;0,00235218291212205;0,538374008094783;0,000681772155188142
