"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"4843";"15462";"31.32";"****";""
" 23";" 778";" 2.96";"-306.42";"sistema";"1.314380e-68"
"162";"1434";"11.30";"-294.64";"candidato";"4.847373e-66"
"241";"1774";"13.59";"-293.07";"eleição";"1.068145e-65"
" 37";" 788";" 4.70";"-273.66";"uso";"1.811589e-61"
"169";"1302";"12.98";"-222.35";"abuso";"2.779083e-50"
" 23";" 560";" 4.11";"-200.06";"meios_de_comunicação";"2.029908e-45"
" 32";" 608";" 5.26";"-199.79";"social";"2.324181e-45"
"  8";" 431";" 1.86";"-178.95";"urna";"8.228076e-41"
" 16";" 468";" 3.42";"-174.68";"votação";"7.045710e-40"
" 21";" 479";" 4.38";"-166.75";"eletrônico";"3.797438e-38"
" 39";" 573";" 6.81";"-166.26";"brasil";"4.865206e-38"
" 76";" 741";"10.26";"-160.56";"pleito";"8.556441e-37"
" 73";" 705";"10.35";"-150.97";"federal";"1.066617e-34"
" 46";" 571";" 8.06";"-149.19";"presidente_da_república";"2.601042e-34"
"  6";" 351";" 1.71";"-146.41";"redes_sociais";"1.057247e-33"
"158";"1023";"15.44";"-128.38";"tse";"9.286711e-30"
" 65";" 603";"10.78";"-123.09";"rel";"1.330541e-28"
" 10";" 323";" 3.10";"-122.18";"rede";"2.107558e-28"
" 70";" 616";"11.36";"-118.80";"político";"1.158167e-27"
" 21";" 371";" 5.66";"-116.36";"candidatura";"3.954524e-27"
"117";" 813";"14.39";"-114.35";"então";"1.092147e-26"
" 16";" 338";" 4.73";"-113.56";"democracia";"1.626365e-26"
" 21";" 360";" 5.83";"-111.32";"normalidade";"5.043990e-26"
"113";" 785";"14.39";"-110.15";"investigar";"9.074332e-26"
"212";"1190";"17.82";"-109.34";"público";"1.369056e-25"
" 23";" 364";" 6.32";"-108.34";"falso";"2.268183e-25"
"105";" 740";"14.19";"-106.05";"dje";"7.182821e-25"
" 11";" 291";" 3.78";"-104.58";"chefe";"1.506746e-24"
" 64";" 548";"11.68";"-101.91";"discurso";"5.817542e-24"
" 69";" 570";"12.11";"-101.60";"indevido";"6.807308e-24"
" 86";" 645";"13.33";"-101.25";"informação";"8.108739e-24"
" 13";" 293";" 4.44";"-100.35";"fraude";"1.274852e-23"
" 18";" 319";" 5.64";" -99.85";"país";"1.644531e-23"
" 56";" 501";"11.18";" -97.67";"poder_econômico";"4.931637e-23"
" 37";" 409";" 9.05";" -96.91";"eleitor";"7.267138e-23"
" 19";" 314";" 6.05";" -95.15";"deputado";"1.763133e-22"
"121";" 776";"15.59";" -93.97";"min";"3.210668e-22"
" 43";" 428";"10.05";" -92.62";"polícia";"6.328504e-22"
" 17";" 292";" 5.82";" -89.97";"disputa";"2.423071e-21"
" 25";" 333";" 7.51";" -89.73";"liberdade";"2.736657e-21"
" 64";" 516";"12.40";" -88.82";"evento";"4.323177e-21"
"  7";" 228";" 3.07";" -85.86";"live";"1.927425e-20"
" 39";" 393";" 9.92";" -85.84";"querer";"1.955814e-20"
" 13";" 254";" 5.12";" -82.43";"autoridade";"1.094257e-19"
" 21";" 295";" 7.12";" -81.90";"cargo";"1.433304e-19"
" 67";" 507";"13.21";" -79.89";"dia";"3.951400e-19"
" 27";" 318";" 8.49";" -78.68";"poder_político";"7.312783e-19"
" 19";" 276";" 6.88";" -78.02";"desvio";"1.021310e-18"
"150";" 849";"17.67";" -77.86";"próprio";"1.108161e-18"
"  2";" 179";" 1.12";" -76.81";"acontecer";"1.886833e-18"
" 29";" 323";" 8.98";" -76.56";"brasileiro";"2.134421e-18"
" 72";" 518";"13.90";" -75.63";"legitimidade";"3.427120e-18"
"  8";" 209";" 3.83";" -74.45";"vídeo";"6.215380e-18"
"119";" 708";"16.81";" -72.66";"campanha";"1.539762e-17"
" 71";" 501";"14.17";" -70.80";"falar";"3.957981e-17"
"156";" 849";"18.37";" -70.01";"dizer";"5.914091e-17"
"  8";" 197";" 4.06";" -68.94";"divulgar";"1.016539e-16"
"  9";" 200";" 4.50";" -67.76";"desinformação";"1.842961e-16"
" 23";" 271";" 8.49";" -66.86";"política";"2.912078e-16"
"  2";" 157";" 1.27";" -66.57";"transmissão";"3.371694e-16"
" 32";" 314";"10.19";" -66.53";"ataque";"3.448657e-16"
" 41";" 351";"11.68";" -64.41";"democrático";"1.011320e-15"
"  1";" 144";" 0.69";" -63.38";"né";"1.700566e-15"
" 31";" 301";"10.30";" -63.07";"respe";"1.994610e-15"
"  1";" 143";" 0.70";" -62.92";"gente";"2.152536e-15"
"  3";" 155";" 1.94";" -62.85";"internacional";"2.225725e-15"
"  0";" 135";" 0.00";" -62.11";"filipe";"3.245244e-15"
" 14";" 213";" 6.57";" -61.50";"oficial";"4.432628e-15"
"  0";" 133";" 0.00";" -61.18";"barro";"5.199541e-15"
" 19";" 237";" 8.02";" -60.77";"ro";"6.414052e-15"
"  3";" 149";" 2.01";" -60.08";"lula";"9.118812e-15"
" 36";" 317";"11.36";" -59.97";"comunicação";"9.621619e-15"
" 33";" 302";"10.93";" -59.56";"cassação";"1.186979e-14"
" 31";" 292";"10.62";" -59.32";"acesso";"1.343149e-14"
"  3";" 146";" 2.05";" -58.69";"popular";"1.845347e-14"
"  5";" 156";" 3.21";" -57.92";"palácio";"2.736324e-14"
"  3";" 144";" 2.08";" -57.77";"transparência";"2.952147e-14"
" 14";" 204";" 6.86";" -57.49";"aí";"3.391570e-14"
"  9";" 177";" 5.08";" -57.30";"reeleição";"3.744754e-14"
"  1";" 130";" 0.77";" -56.89";"hacker";"4.606601e-14"
"  1";" 128";" 0.78";" -55.96";"armado";"7.379734e-14"
"  5";" 151";" 3.31";" -55.62";"presidência";"8.798751e-14"
" 12";" 188";" 6.38";" -55.03";"turno";"1.189986e-13"
"  4";" 143";" 2.80";" -54.59";"tv";"1.481566e-13"
"  5";" 148";" 3.38";" -54.24";"pensamento";"1.772557e-13"
"  4";" 142";" 2.82";" -54.13";"manipulação";"1.872492e-13"
" 46";" 347";"13.26";" -53.85";"inelegibilidade";"2.159464e-13"
"  9";" 168";" 5.36";" -53.23";"imagem";"2.966768e-13"
" 15";" 199";" 7.54";" -53.01";"opinião";"3.311613e-13"
" 50";" 362";"13.81";" -52.83";"saber";"3.634310e-13"
"  3";" 133";" 2.26";" -52.69";"estrangeiro";"3.908551e-13"
" 12";" 182";" 6.59";" -52.35";"estratégia";"4.636194e-13"
" 11";" 176";" 6.25";" -52.02";"número";"5.485907e-13"
" 27";" 254";"10.63";" -51.40";"embaixador";"7.532228e-13"
" 20";" 219";" 9.13";" -50.85";"benefício";"9.983309e-13"
" 28";" 255";"10.98";" -49.87";"grupo";"1.640407e-12"
" 57";" 382";"14.92";" -48.97";"processo_eleitoral";"2.592479e-12"
" 44";" 324";"13.58";" -48.42";"internet";"3.432348e-12"
" 11";" 166";" 6.63";" -47.57";"sociedade";"5.298657e-12"
"  0";" 103";" 0.00";" -47.29";"ódio";"6.121871e-12"
" 26";" 239";"10.88";" -47.16";"utilização";"6.533389e-12"
" 13";" 175";" 7.43";" -46.98";"mundo";"7.188585e-12"
" 23";" 224";"10.27";" -46.84";"ideia";"7.713044e-12"
"  4";" 126";" 3.17";" -46.79";"alvorada";"7.910570e-12"
"  1";" 107";" 0.93";" -46.25";"transmitir";"1.040447e-11"
"  9";" 152";" 5.92";" -46.04";"cidadão";"1.156742e-11"
" 15";" 182";" 8.24";" -45.61";"veículo";"1.445684e-11"
"  4";" 122";" 3.28";" -44.96";"entrevista";"2.014821e-11"
" 22";" 213";"10.33";" -44.25";"liberdade_de_expressão";"2.892180e-11"
" 28";" 241";"11.62";" -44.18";"passar";"2.988676e-11"
"  0";"  96";" 0.00";" -44.06";"barroso";"3.190835e-11"
" 18";" 192";" 9.38";" -43.53";"bolsonaro";"4.170646e-11"
"  6";" 130";" 4.62";" -43.47";"nacional";"4.307312e-11"
" 27";" 234";"11.54";" -43.23";"diploma";"4.868742e-11"
"  0";"  94";" 0.00";" -43.13";"começar";"5.114921e-11"
"  2";" 106";" 1.89";" -42.99";"canal";"5.504271e-11"
" 58";" 368";"15.76";" -42.43";"finalidade";"7.307902e-11"
" 20";" 199";"10.05";" -42.40";"depois";"7.420236e-11"
" 15";" 174";" 8.62";" -42.16";"agente";"8.411593e-11"
" 26";" 225";"11.56";" -41.47";"imprensa";"1.196769e-10"
" 14";" 166";" 8.43";" -40.87";"instituição";"1.631047e-10"
"  4";" 113";" 3.54";" -40.84";"programa";"1.648786e-10"
"  2";" 100";" 2.00";" -40.23";"usar";"2.258956e-10"
" 31";" 244";"12.70";" -39.94";"partido";"2.613427e-10"
" 36";" 266";"13.53";" -39.81";"notícia";"2.796589e-10"
" 69";" 406";"17.00";" -39.78";"abusivo";"2.835271e-10"
"  2";"  99";" 2.02";" -39.77";"prefeito";"2.858398e-10"
" 32";" 248";"12.90";" -39.75";"registro";"2.887871e-10"
" 25";" 216";"11.57";" -39.71";"propaganda_eleitoral";"2.940940e-10"
"143";" 697";"20.52";" -39.62";"pessoa";"3.089461e-10"
" 13";" 158";" 8.23";" -39.58";"impresso";"3.152235e-10"
" 29";" 234";"12.39";" -39.57";"agr";"3.157490e-10"
" 51";" 330";"15.45";" -39.47";"ano";"3.337400e-10"
"  5";" 115";" 4.35";" -39.19";"igualdade";"3.846340e-10"
"  5";" 115";" 4.35";" -39.19";"emissor";"3.846340e-10"
" 11";" 146";" 7.53";" -38.77";"eleitorado";"4.764583e-10"
" 12";" 151";" 7.95";" -38.73";"servidor";"4.861052e-10"
" 26";" 218";"11.93";" -38.67";"governo";"5.023832e-10"
" 32";" 245";"13.06";" -38.59";"dentro";"5.229264e-10"
"129";" 639";"20.19";" -38.41";"aqui";"5.724941e-10"
" 36";" 262";"13.74";" -38.30";"caracterizar";"6.074678e-10"
" 58";" 356";"16.29";" -38.27";"grave";"6.174647e-10"
"109";" 560";"19.46";" -37.98";"meio";"7.151916e-10"
" 72";" 412";"17.48";" -37.72";"jair_messias_bolsonaro";"8.147936e-10"
"  2";"  94";" 2.13";" -37.47";"missão";"9.274127e-10"
" 23";" 201";"11.44";" -37.41";"comportamento";"9.564326e-10"
" 52";" 328";"15.85";" -37.27";"utilizar";"1.026541e-09"
"185";" 845";"21.89";" -36.94";"ato";"1.219168e-09"
"  4";" 104";" 3.85";" -36.74";"xvi";"1.346359e-09"
" 26";" 213";"12.21";" -36.69";"configurar";"1.387570e-09"
" 18";" 175";"10.29";" -36.41";"luiz";"1.596739e-09"
"  2";"  91";" 2.20";" -36.09";"comunidade";"1.879476e-09"
"  4";" 102";" 3.92";" -35.84";"potencialidade";"2.146305e-09"
" 20";" 183";"10.93";" -35.80";"digital";"2.183353e-09"
"  0";"  78";" 0.00";" -35.75";"mentira";"2.238982e-09"
"  1";"  84";" 1.19";" -35.65";"exterior";"2.365504e-09"
" 12";" 143";" 8.39";" -35.28";"vedar";"2.855848e-09"
"  1";"  83";" 1.20";" -35.19";"vivo";"2.995926e-09"
" 16";" 162";" 9.88";" -35.00";"coisa";"3.293908e-09"
"  9";" 127";" 7.09";" -34.96";"caracterização";"3.359154e-09"
"  6";" 111";" 5.41";" -34.91";"apoio";"3.454513e-09"
"  2";"  88";" 2.27";" -34.72";"educação";"3.809498e-09"
"  8";" 121";" 6.61";" -34.62";"news";"4.013848e-09"
"  8";" 121";" 6.61";" -34.62";"anderson";"4.013848e-09"
"  2";"  87";" 2.30";" -34.26";"rj";"4.821272e-09"
"  9";" 125";" 7.20";" -34.09";"torre";"5.269245e-09"
" 22";" 188";"11.70";" -34.06";"página";"5.354743e-09"
"286";"1200";"23.83";" -33.92";"mais";"5.754729e-09"
" 13";" 144";" 9.03";" -33.58";"mídia";"6.822567e-09"
" 11";" 134";" 8.21";" -33.57";"crítica";"6.880131e-09"
" 31";" 227";"13.66";" -33.42";"propaganda";"7.416587e-09"
"  3";"  91";" 3.30";" -33.42";"lives";"7.416641e-09"
"  6";" 107";" 5.61";" -33.12";"hora";"8.665027e-09"
" 23";" 190";"12.11";" -33.02";"fonte";"9.108529e-09"
" 20";" 176";"11.36";" -32.97";"votar";"9.378770e-09"
"  2";"  84";" 2.38";" -32.89";"diplomático";"9.774618e-09"
"  3";"  89";" 3.37";" -32.51";"haddad";"1.185209e-08"
"  1";"  76";" 1.32";" -31.97";"pec";"1.567797e-08"
"  4";"  93";" 4.30";" -31.76";"plataforma";"1.747473e-08"
"  8";" 114";" 7.02";" -31.54";"parlamentar";"1.956639e-08"
"  8";" 114";" 7.02";" -31.54";"xiv";"1.956639e-08"
"  1";"  75";" 1.33";" -31.51";"câmara";"1.986331e-08"
"  2";"  81";" 2.47";" -31.51";"difusão";"1.982132e-08"
"  9";" 119";" 7.56";" -31.47";"comissão";"2.026027e-08"
" 12";" 134";" 8.96";" -31.44";"mês";"2.061557e-08"
" 35";" 239";"14.64";" -31.39";"força";"2.112828e-08"
"  4";"  92";" 4.35";" -31.30";"reprovabilidade";"2.205611e-08"
" 19";" 167";"11.38";" -31.22";"adversário";"2.304806e-08"
