"";"classe 1";"classe 2";"classe 3";"classe 4"
"não";73,943;-128,19;76,063;-31,888
"ao";48,497;54,018;-52,102;-72,753
"como";0,089;31,032;-1,56;-24,047
"eleitoral";-30,443;-0,06;-111,493;251,155
"ministro";53,172;-146,936;77,654;-12,185
"fato";315,329;-46,628;-124,084;-4,495
"eleição";-293,065;0,432;107,884;71,333
"prova";1289,157;-298,588;-157,436;-96,066
"candidato";-294,64;157,962;-26,793;108,895
"voto";-4,424;-13,491;102,359;-9,961
"senhor";-0,881;-74,855;587,775;-148,035
"art";101,537;-309,105;-282,031;501,575
"abuso";-222,35;-250,465;-293,34;2304,854
"mais";-33,916;66,215;22,849;-40,748
"relator";342,972;-181,919;-53,9;0,186
"público";-109,337;86,681;-2,233;9,919
"conduta";-11,775;-200,101;-206,63;981,181
"ação";698,579;-171,854;-106,02;-34,232
"tse";-128,376;-0,055;514,589;-65,815
"caso";108,204;-83,034;-101,462;52,327
"dever";135,129;-85,241;-67,602;18,892
"mesmo";15,962;-2,157;1,306;-14,959
"também";-0,836;-1,8;47,757;-15,368
"presidente";-0,635;-0,867;127,629;-71,603
"bem";-14,813;-9,318;-5,44;88,951
"campanha";-72,661;181,87;-14,605;-1,242
"já";28,114;0,293;1,498;-55,095
"ainda";21,537;0,071;-19,572;-1,644
"ilícito";1,794;-142,613;-144,098;472,117
"forma";-4,449;19,841;-31,419;7,943
"direito";11,305;-46,148;-107,567;162,905
"dizer";-70,005;-2,074;591,976;-134,276
"uso";-273,656;-1,179;-124,094;852,695
"auto";255,671;-46,113;-46,159;-17,602
"jurídico";117,379;-184,941;-149,931;178,135
"min";-93,966;-196,35;-134,044;1255,692
"próprio";-77,856;10,938;92,752;-6,688
"pessoa";-39,617;69,925;32,704;-48,414
"processo";611,791;-120,612;-60,259;-72,244
"dje";-106,052;-251,091;-169,863;1544,327
"ato";-36,938;-0,223;-84,564;238,649
"aije";118,153;-113,981;-105,757;72,648
"então";-114,35;5,857;505,763;-128,813
"gravidade";-2,242;-173,83;-166,75;724,069
"mensagem";-14,629;73,555;-30,253;0,125
"sistema";-306,422;345,205;151,901;-127,547
"decisão";647,905;-111,055;-92,598;-64,692
"investigar";-110,152;321,539;0,439;-58,058
"elemento";279,963;-75,626;-83,478;-0,834
"julgamento";648,153;-184,551;-122,287;-13,068
"empresa";-0,748;5,949;11,105;-21,139
"federal";-150,965;-102,877;1088,203;-39,467
"conteúdo";-25,56;254,814;-32,555;-32,548
"quando";-3,682;-5,691;2,213;10,089
"pedir";629,458;-187,998;-53,57;-42,084
"representar";7,021;3,767;-32,3;0,093
"informação";-101,25;144,635;10,317;-18,915
"pleito";-160,555;0,036;-59,605;423,547
"brasil";-166,255;217,285;109,101;-113,325
"rel";-123,093;-201,424;-138,253;1391,645
"aqui";-38,413;-36,116;546,861;-70,406
"prático";-8,27;-47,54;-95,621;364,668
"investigado";72,431;1,249;-57,193;-12,236
"autor";399,147;-26,294;-76,956;-71,056
"social";-199,787;43,342;-97,934;309,25
"reunião";-4,753;76,607;2,201;-63,485
"político";-118,8;64,549;-52,471;103,481
"meio";-37,979;73,352;-3,183;-0,23
"inquérito";-9,701;-79,512;703,911;-134,922
"id";1,452;2,486;54,437;-92,94
"assim";24,066;-7,094;-5,664;-0,179
"sentido";27,747;-29,609;-31,845;25,054
"indevido";-101,596;-95,211;-95,29;890,11
"porque";-0,085;-12,561;136,508;-44,625
"relação";21,614;-5,231;1,404;-14,252
"vez";0,134;1,53;1,987;-8,703
"resultado";-22,589;7,787;3,242;0,428
"apenas";-0,275;-0,959;0,708;0,653
"dar";-3,458;-1,101;53,023;-12,48
"meios_de_comunicação";-200,057;-55,165;-130,18;1112,418
"defesa";249,694;-20,578;-9,408;-94,034
"presidente_da_república";-149,194;160,723;24,143;-17,901
"discurso";-101,908;503,855;-29,881;-50,553
"pedido";345,477;-108,862;-31,135;-19,181
"ocorrer";-17,229;29,034;2,55;-6,15
"dia";-79,894;114,775;75,234;-84,488
"realizar";-25,959;143,4;-8,825;-16,472
"modo";56,465;-15,163;-50,031;5,204
"probatório";494,179;-130,371;-89,891;-14,223
"respeito";12,787;0,022;4,866;-36,495
"julgar";101,198;-129,052;-72,015;71,71
"evento";-88,82;480,315;-31,731;-50,997
"lei";-0,84;-41,14;-72,788;235,371
"processual";828,539;-164,91;-106,428;-75,014
"falar";-70,798;1,714;370,327;-94,65
"análise";34,148;-4,361;-40,968;2,652
"recurso";-29,713;-49,786;-68,774;428,63
"justiça_eleitoral";-9,074;1,789;-23,603;39,904
"documento";76,968;-40,116;70,595;-113,741
"poder_econômico";-97,674;-142,6;-115,74;1073,873
"eletrônico";-166,748;368,179;9,574;-72,232
"ver";5,559;-0,307;10,566;-24,48
"preliminar";545,382;-129,103;-78,442;-31,534
"juiz";149,857;-40,471;-4,871;-22,505
"tribunal";48,7;-59,384;-22,643;21,792
"legitimidade";-75,627;-71,101;-98,317;735,153
"tratar";0,026;23,667;-0,315;-21,676
"presente";61,201;-11,897;-5,657;-7,745
"demonstrar";15,347;-0,451;-51,136;8,684
"corte";44,804;-72,534;-35,919;48,069
"necessário";101,12;-87,969;-61,593;34,323
"causa";583,223;-113,453;-80,936;-50,159
"até";-18,659;9,375;107,805;-62,495
"votação";-174,676;496,357;-2,468;-50,36
"jair_messias_bolsonaro";-37,724;61,326;17,286;-26,598
"disparo";14,27;-17,78;-9,076;8,826
"querer";-85,835;-20,899;668,905;-77,347
"razão";134,538;-39,008;-21,317;-3,891
"df";3,734;-65,486;-4,165;65,063
"whatsapp";-0,497;7,954;-0,774;-1,766
"ponto";12,851;11,063;-7,553;-23,058
"novo";37,602;5,606;-25,843;-19,86
"apresentar";8,572;-1,343;43,562;-63,902
"termo";21,02;-28,432;-11,828;13,165
"urna";-178,947;64,027;127,322;-15,746
"lc";1,929;-117,11;-99,365;348,643
"entender";138,542;-43,844;-16,088;-5,402
"eleitor";-96,907;107,057;-4,274;3,774
"polícia";-92,622;-108,808;1248,331;-121,187
"considerar";29,613;-29,756;-35,331;26,052
"muito";-20,908;9,84;47,846;-20,737
"eminente";308,366;-75,123;-19,034;-38,268
"falso";-108,336;496,423;-11,323;-72,45
"questão";118,421;-33,715;-0,009;-33,215
"matéria";80,111;-2,793;-15,736;-19,233
"partir";-13,369;47,393;-10,879;-0,009
"além";-2,132;0,221;-7,834;13,316
"testemunha";-0,567;-40,535;335,258;-86,727
"demanda";519,252;-118,091;-73,915;-33,011
"possível";13,043;-0,672;-0,09;-7,859
"circunstância";26,874;-70,541;-87,457;132,406
"base";39,737;-3,03;-14,631;-2,47
"alegação";385,311;-69,26;-51,992;-38,358
"saber";-52,831;-10,078;380,485;-43,673
"massa";3,381;-10,356;-8,166;15,275
"produzir";76,133;0,046;-6,751;-53,622
"inicial";327,336;-35,318;-55,789;-45,326
"contexto";4,489;44,201;-38,638;-12,005
"abusivo";-39,785;-83,337;-83,038;600,553
"advogado";-3,602;-2,614;105,955;-31,92
"seguinte";-2,078;-11,585;0,07;23,198
"afirmar";-17,249;7,988;30,779;-11,861
"conclusão";57,309;-35,273;-0,024;-3,912
"juízo";163,183;-76,631;-10,219;-3,865
"exercício";0,236;-11,24;-63,899;103,812
"processo_eleitoral";-48,975;32,948;-23,018;36,823
"instrução";542,031;-87,906;-51,361;-83,074
"candidatura";-116,365;28,374;-45,583;153,302
"democrático";-64,408;2,433;-16,494;116,7
"grave";-38,265;2,672;-6,998;55,378
"permitir";4,256;7,588;-4,585;-9,714
"momento";-0,033;44,169;1,038;-57,018
"finalidade";-42,435;0,073;-23,079;124,593
"interesse";15,318;-8,893;-6,882;1,444
"comunicação";-59,972;193,427;-57,406;1,048
"redes_sociais";-146,408;478,09;-36,05;-14,81
"manifestação";-5,778;8,661;-37,311;26,487
"existência";24,812;-5,112;-10,245;-0,029
"ano";-39,466;1,996;42,61;-0,33
"utilizar";-37,274;135,95;-5,939;-9,765
"deputado";-95,152;-38,422;506,779;-12,554
"acompanhar";150,635;-31,023;-0,132;-52,841
"rede";-122,181;374,354;-14,185;-19,688
"internet";-48,425;153,142;-54,691;2,496
"geral";21,984;0,001;-19,004;-1,322
"país";-99,849;98,593;77,875;-54,477
"inelegibilidade";-53,854;-96,272;-81,078;687,868
"inclusive";-0,986;10,275;-0,062;-3,942
"comprovar";14,557;-13,117;-10,305;6,246
"tema";9,169;14,335;-10,839;-17,429
"hipótese";2,679;-16,819;-32,794;58,449
"efeito";22,847;0,331;-46,742;0,199
"liberdade";-89,725;-1,191;-14,691;221,58
"investigação";42,259;-47,427;12,208;-10,017
"medida";69,133;-15,464;-27,756;-0,036
