não;1974;1146;1233;1190
ao;1265;1079;505;653
como;883;845;497;573
eleitoral;594;582;239;840
ministro;602;199;410;311
fato;1009;419;206;467
eleição;241;473;490;570
prova;1126;127;111;224
candidato;162;572;194;506
voto;404;307;401;289
senhor;208;84;374;34
art;588;81;22;662
abuso;169;99;12;1022
mais;286;431;285;198
relator;595;87;105;257
público;212;445;202;331
conduta;289;85;24;686
ação;709;92;69;173
tse;158;263;463;139
caso;498;158;79;363
dever;508;152;99;318
mesmo;376;245;203;194
também;311;251;276;197
presidente;249;204;277;98
bem;250;212;153;355
campanha;119;338;93;158
já;364;249;187;130
ainda;357;247;123;209
ilícito;279;70;24;462
forma;240;278;97;240
direito;303;132;41;352
dizer;156;203;426;64
uso;37;192;28;531
auto;479;138;84;155
jurídico;387;43;17;348
min;121;35;22;598
próprio;150;262;264;173
pessoa;143;276;187;91
processo;579;80;69;97
dje;105;8;3;624
ato;185;214;56;390
aije;354;63;28;266
então;117;241;394;61
gravidade;239;53;13;520
mensagem;90;178;32;99
sistema;23;424;275;56
decisão;540;68;37;85
investigar;113;419;153;100
elemento;444;94;45;171
julgamento;557;38;26;142
empresa;63;73;60;24
federal;73;68;464;100
conteúdo;118;304;51;76
quando;190;150;141;198
pedir;518;26;56;96
representar;168;136;38;112
informação;86;299;151;109
pleito;76;195;58;412
brasil;39;301;202;31
rel;65;7;2;529
aqui;129;101;344;65
prático;168;92;25;357
investigado;280;166;40;107
autor;408;101;29;57
social;32;228;20;328
reunião;166;251;127;64
político;70;246;46;254
meio;109;233;88;130
inquérito;139;53;340;18
id;178;153;163;34
assim;244;129;90;141
sentido;252;102;61;200
indevido;69;48;17;436
porque;185;119;221;76
relação;213;114;108;90
vez;186;164;121;110
resultado;125;175;121;142
apenas;175;140;115;147
dar;153;133;168;98
meios_de_comunicação;23;70;1;466
defesa;353;103;79;41
presidente_da_república;46;279;151;95
discurso;64;369;53;62
pedido;363;35;50;86
ocorrer;123;192;113;104
dia;67;236;169;35
realizar;107;249;69;84
modo;241;97;35;147
probatório;394;23;14;89
respeito;207;142;120;71
julgar;258;20;20;199
evento;64;349;47;56
lei;150;70;21;268
processual;458;8;6;41
falar;71;143;258;29
análise;224;115;41;141
recurso;101;62;22;315
justiça_eleitoral;129;146;53;183
documento;226;59;152;13
poder_econômico;56;15;1;429
eletrônico;21;306;115;37
ver;181;125;121;74
preliminar;364;12;11;57
juiz;158;18;30;25
tribunal;214;49;47;154
legitimidade;72;52;10;384
tratar;151;170;84;72
presente;216;85;64;83
demonstrar;186;116;28;140
corte;223;47;41;184
necessário;253;37;24;171
causa;388;23;13;49
até;98;144;167;37
votação;16;330;74;48
jair_messias_bolsonaro;72;176;109;55
disparo;61;13;11;46
querer;39;63;270;21
razão;256;61;47;92
df;109;17;42;131
whatsapp;40;51;22;27
ponto;175;147;61;65
novo;186;128;37;61
apresentar;159;99;130;32
termo;153;50;42;116
urna;8;184;170;69
lc;159;20;4;281
entender;252;55;50;86
eleitor;37;197;60;115
polícia;43;18;360;7
considerar;190;65;34;151
muito;85;133;129;59
eminente;283;28;40;43
falso;23;279;43;19
questão;221;52;72;46
matéria;213;93;46;62
partir;97;170;52;100
além;114;110;54;129
testemunha;81;26;169;1
demanda;353;15;12;54
possível;164;101;75;76
circunstância;189;39;7;209
base;183;89;45;83
alegação;305;32;19;44
saber;50;68;210;34
massa;49;17;11;49
produzir;199;102;52;32
inicial;268;44;12;32
contexto;143;160;26;66
abusivo;69;26;5;306
advogado;31;26;70;4
seguinte;102;67;70;127
afirmar;74;114;105;57
conclusão;179;45;66;71
juízo;222;21;43;70
exercício;124;71;11;176
processo_eleitoral;57;148;35;142
instrução;317;17;15;14
candidatura;21;141;19;190
democrático;41;104;36;170
grave;58;106;47;145
permitir;128;114;50;60
momento;109;146;73;25
finalidade;58;98;33;179
interesse;145;68;47;95
comunicação;36;190;7;84
redes_sociais;6;269;22;54
manifestação;91;117;22;127
existência;140;65;37;75
ano;51;97;107;75
utilizar;52;177;44;55
deputado;19;34;212;49
acompanhar;201;40;57;22
rede;10;235;34;44
internet;44;181;9;90
geral;148;90;33;74
país;18;160;120;21
inelegibilidade;46;11;0;290
inclusive;99;115;62;67
comprovar;133;56;38;97
tema;137;123;42;52
hipótese;124;58;24;145
efeito;151;96;16;88
liberdade;25;78;35;195
investigação;165;35;90;59
medida;171;54;24;77
referido;91;95;44;99
brasileiro;29;164;91;39
final;195;51;64;23
normalidade;21;30;12;297
indício;127;29;49;64
civil;166;32;98;20
vista;182;68;24;52
objeto;171;65;50;31
suficiente;125;25;25;164
digital;20;101;32;30
democracia;16;207;58;57
princípio;159;22;8;138
judicial;223;15;10;60
fundamento;205;15;9;77
tese;150;62;11;90
linha;124;60;52;67
mérito;260;9;8;49
utilização;26;72;8;133
trazer;169;65;39;37
diverso;91;161;17;52
constitucional;132;32;17;116
alexandre_de_moraes;112;20;64;45
produção;247;39;6;23
levar;106;101;63;44
especial;63;39;73;118
notícia;36;164;45;21
representante;73;82;31;43
poder_político;27;30;3;258
acesso;31;93;131;37
embaixador;27;170;43;14
cassação;33;9;1;259
ataque;32;209;47;26
petição_inicial;175;70;7;39
eventual;147;28;25;99
aspecto;97;40;18;127
fraude;13;139;131;10
concluir;116;59;59;69
só;53;50;139;40
material;71;91;58;49
respe;31;5;0;265
tempo;84;101;82;29
c;79;89;46;35
justiça;102;34;108;45
concreto;109;35;8;142
grupo;28;123;76;28
mandato;55;31;12;201
apuração;51;66;115;56
parecer;141;61;46;35
ficar;57;62;106;48
cargo;21;113;36;125
ocorrência;96;30;25;120
expor;146;67;23;54
determinado;100;47;33;112
