"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"4843";"15462";"31.32";"****";""
"1126";"1588";" 70.91";"1289.16";"prova";"2.568090e-282"
" 458";" 513";" 89.28";" 828.54";"processual";"3.367436e-182"
" 709";"1043";" 67.98";" 698.58";"ação";"6.091668e-154"
" 557";" 763";" 73.00";" 648.15";"julgamento";"5.632859e-143"
" 540";" 730";" 73.97";" 647.91";"decisão";"6.378302e-143"
" 518";" 696";" 74.43";" 629.46";"pedir";"6.555430e-139"
" 579";" 825";" 70.18";" 611.79";"processo";"4.561410e-135"
" 388";" 473";" 82.03";" 583.22";"causa";"7.466345e-129"
" 364";" 444";" 81.98";" 545.38";"preliminar";"1.272415e-120"
" 317";" 363";" 87.33";" 542.03";"instrução";"6.815415e-120"
" 353";" 434";" 81.34";" 519.25";"demanda";"6.154391e-115"
" 394";" 520";" 75.77";" 494.18";"probatório";"1.756347e-109"
" 408";" 595";" 68.57";" 399.15";"autor";" 8.445236e-89"
" 305";" 400";" 76.25";" 385.31";"alegação";" 8.683540e-86"
" 207";" 230";" 90.00";" 373.70";"contraditório";" 2.930646e-83"
" 260";" 326";" 79.75";" 363.15";"mérito";" 5.813649e-81"
" 363";" 534";" 67.98";" 345.48";"pedido";" 4.094347e-77"
" 595";"1044";" 56.99";" 342.97";"relator";" 1.437263e-76"
" 247";" 315";" 78.41";" 331.48";"produção";" 4.581354e-74"
" 268";" 356";" 75.28";" 327.34";"inicial";" 3.655746e-73"
"1009";"2101";" 48.02";" 315.33";"fato";" 1.507543e-70"
" 283";" 394";" 71.83";" 308.37";"eminente";" 4.956262e-69"
" 196";" 235";" 83.40";" 300.91";"diligência";" 2.089718e-67"
" 444";" 754";" 58.89";" 279.96";"elemento";" 7.649455e-63"
" 185";" 225";" 82.22";" 274.99";"passivo";" 9.261256e-62"
" 148";" 165";" 89.70";" 264.20";"cpc";" 2.086070e-59"
" 479";" 856";" 55.96";" 255.67";"auto";" 1.507147e-57"
" 183";" 229";" 79.91";" 255.13";"aijes";" 1.980931e-57"
" 133";" 144";" 92.36";" 251.75";"indeferir";" 1.076585e-56"
" 353";" 576";" 61.28";" 249.69";"defesa";" 3.028621e-56"
" 223";" 308";" 72.40";" 246.55";"judicial";" 1.470941e-55"
" 114";" 123";" 92.68";" 217.02";"indeferimento";" 4.048717e-49"
" 127";" 152";" 83.55";" 194.68";"requerimento";" 3.027684e-44"
" 205";" 306";" 66.99";" 184.66";"fundamento";" 4.650156e-42"
"  95";" 102";" 93.14";" 182.39";"celeridade";" 1.457835e-41"
" 108";" 124";" 87.10";" 180.77";"cerceamento";" 3.289466e-41"
" 133";" 168";" 79.17";" 180.74";"devido";" 3.340239e-41"
" 105";" 119";" 88.24";" 180.58";"conexão";" 3.625062e-41"
"  86";"  91";" 94.51";" 169.88";"interlocutório";" 7.853130e-39"
" 222";" 356";" 62.36";" 163.18";"juízo";" 2.281278e-37"
" 184";" 278";" 66.19";" 159.97";"exame";" 1.148521e-36"
"  84";"  91";" 92.31";" 158.27";"estabilização";" 2.703630e-36"
" 171";" 254";" 67.32";" 155.59";"conjunto";" 1.039577e-35"
" 201";" 320";" 62.81";" 150.64";"acompanhar";" 1.259354e-34"
"  77";"  82";" 93.90";" 150.08";"ônus";" 1.661898e-34"
" 158";" 231";" 68.40";" 149.86";"juiz";" 1.863456e-34"
" 151";" 217";" 69.59";" 149.79";"sigilo";" 1.922460e-34"
" 168";" 252";" 66.67";" 148.77";"ausência";" 3.217551e-34"
" 112";" 146";" 76.71";" 141.17";"improcedência";" 1.478993e-32"
" 252";" 443";" 56.88";" 138.54";"entender";" 5.545840e-32"
"  92";" 111";" 82.88";" 138.17";"litispendência";" 6.675855e-32"
"  73";"  79";" 92.41";" 137.73";"decadência";" 8.350754e-32"
"  82";"  94";" 87.23";" 137.44";"desdobramento";" 9.649960e-32"
" 105";" 135";" 77.78";" 136.63";"quebra";" 1.450571e-31"
" 138";" 199";" 69.35";" 135.50";"determinar";" 2.564144e-31"
" 508";"1077";" 47.17";" 135.13";"dever";" 3.093288e-31"
" 256";" 456";" 56.14";" 134.54";"razão";" 4.165774e-31"
"  98";" 124";" 79.03";" 132.27";"fase";" 1.302940e-30"
" 106";" 139";" 76.26";" 131.67";"magistrado";" 1.768923e-30"
"  70";"  76";" 92.11";" 131.18";"lide";" 2.265594e-30"
"  72";"  81";" 88.89";" 125.44";"ilegitimidade";" 4.071652e-29"
"  62";"  65";" 95.38";" 124.53";"ampliação";" 6.438326e-29"
" 221";" 391";" 56.52";" 118.42";"questão";" 1.402550e-27"
" 354";" 711";" 49.79";" 118.15";"aije";" 1.605445e-27"
"  67";"  75";" 89.33";" 117.91";"bancário";" 1.818838e-27"
" 387";" 795";" 48.68";" 117.38";"jurídico";" 2.371854e-27"
" 195";" 333";" 58.56";" 117.37";"final";" 2.388024e-27"
"  65";"  72";" 90.28";" 116.88";"rejeito";" 3.047219e-27"
"  54";"  55";" 98.18";" 114.70";"reabertura";" 9.141529e-27"
" 175";" 291";" 60.14";" 114.48";"petição_inicial";" 1.022847e-26"
"  72";"  85";" 84.71";" 113.23";"fundamentação";" 1.919949e-26"
"  74";"  89";" 83.15";" 111.76";"pertinência";" 4.028870e-26"
" 127";" 191";" 66.49";" 111.20";"corregedor";" 5.342626e-26"
"  59";"  64";" 92.19";" 110.68";"inépcia";" 6.963874e-26"
"  92";" 123";" 74.80";" 108.94";"plenário";" 1.673848e-25"
" 498";"1098";" 45.36";" 108.20";"caso";" 2.425358e-25"
"  88";" 116";" 75.86";" 107.79";"jurisdicional";" 2.993456e-25"
"  96";" 132";" 72.73";" 106.11";"requerido";" 6.986809e-25"
" 156";" 258";" 60.47";" 103.59";"legal";" 2.483397e-24"
"  96";" 134";" 71.64";" 102.15";"autoria";" 5.136621e-24"
" 588";"1353";" 43.46";" 101.54";"art";" 7.013299e-24"
"  65";"  77";" 84.42";" 101.41";"referendar";" 7.481827e-24"
" 258";" 497";" 51.91";" 101.20";"julgar";" 8.324288e-24"
" 253";" 485";" 52.16";" 101.12";"necessário";" 8.658512e-24"
"  98";" 139";" 70.50";" 100.10";"controvérsia";" 1.448732e-23"
"  58";"  66";" 87.88";"  98.56";"superveniente";" 3.151625e-23"
"  82";" 109";" 75.23";"  98.38";"deferir";" 3.452926e-23"
" 107";" 158";" 67.72";"  98.32";"improcedente";" 3.558858e-23"
"  51";"  55";" 92.73";"  96.75";"admissibilidade";" 7.861708e-23"
"  58";"  67";" 86.57";"  95.47";"propositura";" 1.498760e-22"
"  58";"  67";" 86.57";"  95.47";"colegiado";" 1.498760e-22"
" 137";" 223";" 61.43";"  95.38";"juntar";" 1.571537e-22"
"  71";"  90";" 78.89";"  95.22";"razoável";" 1.704874e-22"
" 182";" 326";" 55.83";"  92.97";"vista";" 5.299549e-22"
"  67";"  84";" 79.76";"  92.13";"litisconsórcio";" 8.129860e-22"
"  66";"  84";" 78.57";"  87.65";"suscitado";" 7.796165e-21"
"  66";"  84";" 78.57";"  87.65";"polo";" 7.796165e-21"
"  62";"  77";" 80.52";"  87.07";"nulidade";" 1.046392e-20"
"  82";" 115";" 71.30";"  86.10";"liminar";" 1.709296e-20"
" 135";" 226";" 59.73";"  86.07";"fático";" 1.735837e-20"
"  64";"  82";" 78.05";"  83.67";"fiscal";" 5.835589e-20"
"  51";"  59";" 86.44";"  83.65";"deduzir";" 5.918680e-20"
"  48";"  54";" 88.89";"  83.48";"testemunhal";" 6.429986e-20"
"  46";"  51";" 90.20";"  82.45";"deferimento";" 1.084128e-19"
" 157";" 280";" 56.07";"  81.20";"amplo";" 2.039144e-19"
"  55";"  67";" 82.09";"  80.62";"incompetência";" 2.729469e-19"
" 213";" 414";" 51.45";"  80.11";"matéria";" 3.539422e-19"
"  52";"  62";" 83.87";"  79.91";"pericial";" 3.919331e-19"
" 103";" 162";" 63.58";"  79.20";"requerer";" 5.623290e-19"
" 169";" 310";" 54.52";"  79.11";"trazer";" 5.865284e-19"
"  76";" 107";" 71.03";"  78.97";"narrado";" 6.314793e-19"
"  66";"  88";" 75.00";"  78.49";"pretensão";" 8.035383e-19"
"  44";"  49";" 89.80";"  78.13";"afastamento";" 9.634474e-19"
"  51";"  61";" 83.61";"  77.83";"aguardar";" 1.125004e-18"
"  42";"  46";" 91.30";"  77.17";"reconsideração";" 1.570815e-18"
" 171";" 317";" 53.94";"  76.99";"objeto";" 1.720042e-18"
" 226";" 450";" 50.22";"  76.97";"documento";" 1.737698e-18"
"  97";" 151";" 64.24";"  76.81";"formular";" 1.885462e-18"
" 199";" 385";" 51.69";"  76.13";"produzir";" 2.652202e-18"
"  46";"  53";" 86.79";"  76.07";"vênia";" 2.735156e-18"
"  43";"  48";" 89.58";"  75.98";"preclusão";" 2.868804e-18"
" 122";" 206";" 59.22";"  75.56";"curso";" 3.549717e-18"
"  41";"  45";" 91.11";"  75.00";"materialidade";" 4.709115e-18"
"  63";"  84";" 75.00";"  74.90";"omissão";" 4.941762e-18"
"  34";"  34";"100.00";"  74.71";"instrutórios";" 5.439887e-18"
"  52";"  64";" 81.25";"  74.47";"investigativo";" 6.144700e-18"
"  65";"  88";" 73.86";"  74.46";"petição";" 6.187368e-18"
"1974";"5543";" 35.61";"  73.94";"não";" 8.039547e-18"
"  97";" 153";" 63.40";"  73.91";"réu";" 8.161436e-18"
"  55";"  70";" 78.57";"  72.98";"embargo";" 1.310587e-17"
"  43";"  49";" 87.76";"  72.77";"condenatório";" 1.453773e-17"
" 280";" 593";" 47.22";"  72.43";"investigado";" 1.729676e-17"
"  89";" 138";" 64.49";"  71.22";"pensar";" 3.191116e-17"
"  36";"  38";" 94.74";"  71.21";"embargante";" 3.204359e-17"
"  65";"  90";" 72.22";"  70.40";"complementar";" 4.845664e-17"
"  66";"  92";" 71.74";"  70.28";"convicção";" 5.140133e-17"
"  56";"  73";" 76.71";"  70.25";"trâmite";" 5.227677e-17"
"  46";"  55";" 83.64";"  70.22";"ajuizamento";" 5.293551e-17"
"  37";"  40";" 92.50";"  69.78";"inútil";" 6.641799e-17"
" 171";" 326";" 52.45";"  69.13";"medida";" 9.202208e-17"
"  70";" 101";" 69.31";"  68.19";"ações_de_investigação_judicial_eleitoral";" 1.484305e-16"
"  31";"  31";"100.00";"  68.11";"protelatórias";" 1.547283e-16"
"  50";"  63";" 79.37";"  67.87";"apreciação";" 1.742004e-16"
"  58";"  78";" 74.36";"  67.50";"inexistir";" 2.106051e-16"
" 166";" 316";" 52.53";"  67.46";"civil";" 2.148265e-16"
" 131";" 234";" 55.98";"  67.17";"assentar";" 2.487563e-16"
"  34";"  36";" 94.44";"  66.84";"prejudicial";" 2.949235e-16"
"  43";"  51";" 84.31";"  66.80";"meramente";" 3.009969e-16"
"  94";" 152";" 61.84";"  66.47";"rejeitar";" 3.548433e-16"
"  67";"  96";" 69.79";"  66.46";"julgador";" 3.574283e-16"
" 124";" 219";" 56.62";"  66.10";"código";" 4.292886e-16"
" 111";" 190";" 58.42";"  65.67";"garantia";" 5.331373e-16"
"  38";"  43";" 88.37";"  65.24";"tramitação";" 6.625587e-16"
"  98";" 162";" 60.49";"  64.77";"argumento";" 8.431542e-16"
" 109";" 187";" 58.29";"  63.99";"procedimento";" 1.249902e-15"
"  57";"  78";" 73.08";"  63.54";"correlação";" 1.572199e-15"
"  49";"  63";" 77.78";"  63.46";"documental";" 1.633257e-15"
"  59";"  82";" 71.95";"  63.26";"determinação";" 1.810752e-15"
"  63";"  90";" 70.00";"  62.96";"peça";" 2.113287e-15"
"  48";"  62";" 77.42";"  61.49";"deslinde";" 4.444112e-15"
" 137";" 254";" 53.94";"  61.40";"proferido";" 4.662274e-15"
"  43";"  53";" 81.13";"  61.34";"par";" 4.805060e-15"
" 216";" 448";" 48.21";"  61.20";"presente";" 5.153026e-15"
"  41";"  50";" 82.00";"  59.89";"oral";" 1.003422e-14"
"  63";"  92";" 68.48";"  59.40";"prestação";" 1.287443e-14"
"  27";"  27";"100.00";"  59.31";"continência";" 1.350270e-14"
"  76";" 119";" 63.87";"  59.04";"autorizar";" 1.542824e-14"
"  89";" 147";" 60.54";"  58.92";"consideração";" 1.646190e-14"
"  35";"  40";" 87.50";"  58.84";"conexo";" 1.712780e-14"
"  70";" 107";" 65.42";"  58.24";"compor";" 2.322529e-14"
" 179";" 361";" 49.58";"  57.31";"conclusão";" 3.724521e-14"
"  26";"  26";"100.00";"  57.10";"originariamente";" 4.131743e-14"
"  31";"  34";" 91.18";"  56.75";"apreciado";" 4.950145e-14"
"  69";" 106";" 65.09";"  56.59";"oitiva";" 5.364663e-14"
" 241";" 520";" 46.35";"  56.46";"modo";" 5.721863e-14"
"  71";" 111";" 63.96";"  55.38";"fixar";" 9.943139e-14"
"  46";"  61";" 75.41";"  55.34";"distinto";" 1.015210e-13"
"  97";" 168";" 57.74";"  55.10";"compreensão";" 1.147405e-13"
"  25";"  25";"100.00";"  54.91";"congruência";" 1.264985e-13"
"  48";"  65";" 73.85";"  54.87";"possibilitar";" 1.286594e-13"
