de;4793;3975;2764;3711
a;4498;3603;2376;3305
em;3974;3243;2132;2928
o;3656;3045;2321;2428
que;3391;2874;2277;2073
ser;2283;1919;1642;1521
por;2186;1757;1160;1521
se;2170;1692;893;1573
para;1387;1354;871;1193
com;1119;1137;670;696
ir;704;800;1026;261
ter;656;662;903;452
um;489;842;731;386
uma;556;786;727;342
poder;791;548;439;796
haver;654;445;376;325
n;512;173;199;761
sua;595;529;249;448
fazer;511;392;463;157
estar;370;349;537;196
seu;438;489;206;274
outro;368;309;302;242
todo;393;310;318;215
essa;337;254;284;200
eu;163;88;566;34
sobre;309;367;245;143
esse;290;268;345;137
isso;287;251;385;140
qual;405;281;143;210
parte;643;169;95;103
ele;125;180;416;94
primeiro;171;463;210;118
sem;301;196;133;205
entre;237;200;99;258
qualquer;237;237;132;151
segundo;169;186;126;103
quanto;290;118;56;116
estado;123;232;130;125
tal;210;88;57;128
fim;192;105;41;200
sob;198;76;50;142
nós;50;78;285;11
dois;176;120;91;43
contra;91;159;60;86
me;131;40;155;30
b;142;103;39;53
esta;167;74;38;105
quem;43;64;197;32
após;114;101;84;56
somente;130;78;27;100
aquele;107;80;83;63
i;110;62;43;86
durante;38;128;49;50
nenhum;85;69;91;19
pro;14;20;197;10
este;118;52;44;74
ela;72;84;77;26
p;53;105;36;90
meu;109;27;82;46
algum;57;62;97;24
aquela;98;49;66;41
desde;107;72;34;47
nosso;33;52;104;22
tanto;68;76;43;49
alguma;38;51;87;25
cada;57;67;34;42
mil;8;79;8;5
acercar;90;54;12;58
três;56;55;61;14
si;52;47;12;91
minha;46;16;81;30
mediante;47;40;8;41
milhão;6;83;34;8
quatro;34;41;43;21
nome;16;45;71;8
você;4;19;112;0
1;51;21;17;78
ante;88;14;3;58
cujo;52;32;23;25
d;36;54;15;27
povo;6;40;71;23
ambos;64;28;21;22
nossa;18;38;56;14
lhe;57;26;38;15
trabalho;29;25;47;4
perante;26;39;22;10
cuja;49;24;10;37
in;46;21;6;41
v;28;27;12;26
maioria;49;18;8;25
s;23;9;8;18
tentar;11;28;58;2
vossa;29;4;42;1
muita;20;28;35;9
ali;10;16;48;5
9;7;5;4;76
vário;10;27;42;6
consoante;34;7;5;40
2;22;12;17;38
ai;10;2;0;67
aquilo;9;8;48;2
5;32;7;1;38
apesar;26;18;17;15
vinte;5;27;5;12
oito;2;9;12;39
mim;16;6;38;5
alguém;8;11;40;7
cinco;19;19;16;3
ninguém;3;7;41;3
j;8;3;1;35
dez;12;12;6;9
3;20;5;7;19
isto;13;12;7;18
seis;3;22;6;2
ah;0;7;31;0
lhes;8;14;5;9
quê;1;1;35;0
f;8;15;6;6
x;10;6;5;11
nove;12;13;6;1
sete;3;13;14;0
quinto;0;7;17;7
h;7;12;8;5
4;9;5;4;11
g;8;9;11;2
comigo;3;0;22;1
trinta;6;8;4;2
l;10;3;0;4
setenta;1;11;1;3
quinhentos;1;12;0;1
cinquenta;0;10;4;1
17;8;13;0;0
quinze;1;4;9;2
quatrocentos;0;9;1;1
quarenta;0;9;3;1
oitenta;1;8;0;0
hum;0;0;3;0
u;0;5;5;2
cento;0;10;2;1
10;0;0;17;0
per;4;4;1;6
trezentos;0;9;1;0
te;1;2;6;1
duzentos;2;5;1;0
doze;4;2;0;1
6;5;2;2;5
t;0;3;1;4
bilhão;0;4;5;0
m;1;4;1;3
xi;1;5;4;0
ti;0;0;9;0
sexto;0;8;1;2
afora;0;5;0;1
7;4;5;3;0
cima;0;1;10;0
77;0;10;0;1
onze;1;4;2;1
malgrado;2;6;0;1
setecentos;0;4;0;0
k;6;1;0;0
exceto;0;1;1;7
connosco;0;3;6;0
cem;0;2;1;4
zero;1;3;3;0
tua;0;0;7;0
pró;0;5;0;1
oitavo;0;3;4;1
12;1;0;5;0
ó;0;0;5;0
tu;1;0;4;0
sessenta;0;4;0;0
outrem;0;1;1;1
consigo;0;2;2;1
teu;0;0;4;0
dezesseis;0;3;1;0
apud;0;3;0;1
41;2;0;2;0
ué;0;1;2;0
quatorze;2;1;0;0
novecentos;0;3;0;0
dezoito;0;2;1;0
8;0;1;1;1
14;0;3;0;0
13;0;2;0;1
109;0;1;0;2
