"";"x"
"1";1
"2";1
"3";1
"4";1
"5";1
"6";1
"7";1
"8";1
"9";1
"10";1
"11";1
"12";1
"13";1
"14";3
"15";1
"16";2
"17";2
"18";1
"19";1
"20";1
"21";1
"22";1
"23";1
"24";1
"25";1
"26";0
"27";1
"28";1
"29";2
"30";1
"31";1
"32";1
"33";1
"34";1
"35";1
"36";1
"37";1
"38";1
"39";1
"40";1
"41";1
"42";4
"43";2
"44";1
"45";4
"46";2
"47";3
"48";1
"49";1
"50";1
"51";1
"52";1
"53";1
"54";3
"55";1
"56";1
"57";3
"58";2
"59";1
"60";4
"61";1
"62";1
"63";1
"64";1
"65";3
"66";4
"67";1
"68";1
"69";1
"70";1
"71";1
"72";4
"73";3
"74";3
"75";4
"76";3
"77";3
"78";2
"79";3
"80";4
"81";3
"82";3
"83";1
"84";4
"85";3
"86";2
"87";3
"88";1
"89";1
"90";4
"91";1
"92";3
"93";3
"94";1
"95";3
"96";4
"97";3
"98";3
"99";3
"100";3
"101";2
"102";1
"103";4
"104";4
"105";1
"106";1
"107";1
"108";1
"109";1
"110";1
"111";1
"112";1
"113";1
"114";1
"115";1
"116";1
"117";1
"118";1
"119";1
"120";1
"121";1
"122";1
"123";1
"124";1
"125";1
"126";1
"127";1
"128";1
"129";1
"130";1
"131";4
"132";1
"133";3
"134";2
"135";2
"136";2
"137";1
"138";1
"139";4
"140";1
"141";2
"142";3
"143";0
"144";1
"145";0
"146";0
"147";0
"148";0
"149";1
"150";1
"151";1
"152";0
"153";0
"154";1
"155";2
"156";1
"157";1
"158";1
"159";3
"160";1
"161";1
"162";1
"163";1
"164";1
"165";1
"166";1
"167";1
"168";1
"169";1
"170";1
"171";1
"172";1
"173";1
"174";1
"175";1
"176";1
"177";1
"178";1
"179";1
"180";1
"181";4
"182";1
"183";1
"184";1
"185";0
"186";0
"187";0
"188";2
"189";0
"190";1
"191";1
"192";1
"193";1
"194";1
"195";1
"196";1
"197";1
"198";1
"199";1
"200";4
"201";1
"202";1
"203";4
"204";1
"205";1
"206";1
"207";1
"208";1
"209";1
"210";1
"211";3
"212";2
"213";3
"214";4
"215";1
"216";2
"217";1
"218";4
"219";1
"220";1
"221";1
"222";1
"223";1
"224";1
"225";1
"226";1
"227";1
"228";1
"229";1
"230";1
"231";1
"232";2
"233";1
"234";1
"235";1
"236";1
"237";1
"238";1
"239";1
"240";0
"241";1
"242";1
"243";1
"244";1
"245";1
"246";4
"247";3
"248";3
"249";1
"250";0
"251";4
"252";1
"253";1
"254";4
"255";4
"256";4
"257";2
"258";2
"259";3
"260";4
"261";2
"262";4
"263";4
"264";4
"265";4
"266";4
"267";4
"268";4
"269";0
"270";0
"271";3
"272";0
"273";0
"274";0
"275";3
"276";3
"277";3
"278";2
"279";0
"280";0
"281";1
"282";1
"283";1
"284";1
"285";3
"286";3
"287";2
"288";1
"289";3
"290";4
"291";1
"292";2
"293";1
"294";1
"295";1
"296";2
"297";3
"298";3
"299";1
"300";0
"301";2
"302";0
"303";3
"304";3
"305";1
"306";1
"307";1
"308";4
"309";4
"310";4
"311";4
"312";3
"313";1
"314";3
"315";1
"316";2
"317";1
"318";1
"319";1
"320";1
"321";4
"322";1
"323";1
"324";1
"325";1
"326";1
"327";1
"328";4
"329";0
"330";0
"331";1
"332";1
"333";4
"334";1
"335";4
"336";4
"337";4
"338";3
"339";1
"340";4
"341";2
"342";4
"343";1
"344";1
"345";1
"346";2
"347";1
"348";4
"349";2
"350";2
"351";4
"352";1
"353";4
"354";4
"355";4
"356";2
"357";1
"358";4
"359";4
"360";4
"361";1
"362";4
"363";1
"364";1
"365";1
"366";4
"367";1
"368";4
"369";1
"370";4
"371";4
"372";1
"373";1
"374";4
"375";1
"376";4
"377";1
"378";1
"379";4
"380";1
"381";1
"382";1
"383";4
"384";1
"385";1
"386";4
"387";4
"388";1
"389";0
"390";0
"391";0
"392";0
"393";0
"394";2
"395";1
"396";1
"397";1
"398";4
"399";1
"400";1
"401";1
"402";3
"403";2
"404";1
"405";3
"406";4
"407";1
"408";1
"409";1
"410";1
"411";1
"412";4
"413";1
"414";1
"415";2
"416";1
"417";1
"418";1
"419";1
"420";4
"421";4
"422";4
"423";1
"424";1
"425";1
"426";1
"427";2
"428";2
"429";4
"430";4
"431";4
"432";4
"433";4
"434";4
"435";4
"436";4
"437";4
"438";4
"439";4
"440";4
"441";4
"442";4
"443";4
"444";4
"445";4
"446";1
"447";1
"448";1
"449";2
"450";2
"451";2
"452";3
"453";4
"454";4
"455";4
"456";4
"457";4
"458";4
"459";2
"460";4
"461";4
"462";2
"463";2
"464";2
"465";2
"466";2
"467";1
"468";2
"469";2
"470";2
"471";2
"472";2
"473";2
"474";4
"475";1
"476";4
"477";4
"478";4
"479";1
"480";1
"481";1
